cp_category,cp_model,group_key,art_print,pp,product_id,rank,image_url
Объемные матовые чехлы коричневые,Honor X6c,A:502025,W502025,ПП2,1156187365,25,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502025.webp
Объемные матовые чехлы молочные,Honor X6c,A:502032,W502032,ПП2,1154959346,17,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502032.webp
Матовые цветные чехлы для печати,Honor X6c,A:502035,W502035,ПП2,726756373,88,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502035.webp
Силиконовые чехлы,Honor X6c,A:502048,W502048,ПП2,726988758,31,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Y502048.webp
Силиконовые чехлы,Honor X6c,A:502049,W502049,ПП2,726993276,45,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Y502049.webp
Матовые цветные чехлы для печати,Honor X6c,A:502050,W502050,ПП2,726766948,106,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Y502050.webp
Объемные матовые чехлы молочные,Honor X6c,A:502053,W502053,ПП2,1155052905,1,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502053.webp
Силиконовые чехлы,Honor X6c,A:502055,W502055,ПП2,727009383,86,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502055.webp
Матовые цветные чехлы для печати,Honor X6c,A:502057,W502057,ПП2,726775223,91,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502057.webp
Силиконовые чехлы,Honor X6c,A:502060,W502060,ПП2,727805364,1000000,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502060.webp
Матовые цветные чехлы для печати,Honor X6c,A:502067,W5020671,ПП2,726742113,56,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W5020671.webp
Объемные матовые чехлы молочные,Honor X6c,A:506330,W506330,ПП2,1155172253,14,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W5063301.webp
Силиконовые чехлы,Honor X6c,A:506334,W506334,ПП2,1186160590,10,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W5063341.webp
Матовые цветные чехлы для печати,Honor X6c,A:506335,W5063351,ПП2,1185848758,17,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W5063351.webp
Матовые цветные чехлы для печати,Honor X6c,A:506336,W5063361,ПП2,1185459405,10,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W5063361.webp
Силиконовые чехлы,Honor X6c,A:506339,W506339,ПП2,1186223711,13,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W5063391.webp
Объемные матовые чехлы черные,Honor X6c,A:506340,W5063401,ПП2,1158088748,16,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W5063401.webp
Объемные матовые чехлы черные,Honor X6c,A:506347,W5063471,ПП2,1158122650,33,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W5063471.webp
Силиконовые чехлы,Honor X6c,A:506364,W506364,ПП2,1186431323,24,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W506364.webp
Силиконовые чехлы,Honor X6c,A:506374,W506374,ПП2,1186502867,6,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W506374.webp
Объемные матовые чехлы светло-розовые,Honor X6c,A:506382,Q506382,ПП2,1152724260,23,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q5063821.webp
Силиконовые чехлы,Honor X6c,A:506383,Q506383,ПП2,1186027355,46,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q5063831.webp
Силиконовые чехлы,Honor X7A/X7A Plus,A:501978,Q501978,ПП2,1121706390,2,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q5019781.webp
Матовые цветные чехлы для печати,Honor X7A/X7A Plus,A:506334,W5063341,ПП2,1153846144,3,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W5063341.webp
Силиконовые чехлы,Honor X7A/X7A Plus,A:506364,W506364,ПП2,1137346473,24,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W506364.webp
Силиконовые чехлы,Honor X7b/90 Smart,A:501978,Q501978,ПП2,1121718595,2,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q5019781.webp
Силиконовые чехлы,Honor X7b/90 Smart,A:501980,Q501980,ПП2,1196379690,3,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q5019801.webp
Силиконовые чехлы,Honor X7b/90 Smart,A:502009,W502009,ПП2,1136983062,14,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502009.webp
Силиконовые чехлы,Honor X7b/90 Smart,A:502010,W502010,ПП2,1201463855,1,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502010.webp
Силиконовые чехлы,Honor X7b/90 Smart,A:502014,W502014,ПП2,1120799724,7,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502014.webp
Матовые цветные чехлы для печати,Honor X7b/90 Smart,A:502026,W502026,ПП2,1153198022,31,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502026.webp
Матовые цветные чехлы для печати,Honor X7b/90 Smart,A:506363,W506363,ПП2,1152307518,59,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W506363.webp
Силиконовые чехлы,Honor X7b/90 Smart,A:506372,W506372,ПП2,1137401490,12,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W506372.webp
Силиконовые чехлы,Honor X7b/90 Smart,A:506384,Q506384,ПП2,1137002009,22,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q5063841.webp
Объемные матовые чехлы коричневые,Honor X7c,A:501949,W501949,ПП2,1156358986,1000000,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501949.webp
Силиконовые чехлы,Honor X7c,A:501962,W501962,ПП2,727557858,51,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501962.webp
Силиконовые чехлы,Honor X7c,A:501978,Q501978,ПП2,1541153077,2,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q5019781.webp
Объемные матовые чехлы черные,Honor X7c,A:501980,Q501980,ПП2,1157718415,2,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q5019801.webp
Силиконовые чехлы,Honor X7c,A:501993,Q501993,ПП2,727208436,17,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q5019931.webp
